Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2024-07-02,0.126805,0.126805,0.122499,0.123465,0.111765,0.086792,0.037856,0.4325,0.446296,0.429995,0.43875,0.399714,0.347191,0.284685,0.694375,0.7225,0.693718,0.70875,0.644171,0.58733,0.556789,1.0725,1.09075,1.066248,1.08625,1.012107,0.953308,0.942676,1.7575,1.784375,1.7415,1.78,1.70636,1.622897,1.585248
2024-07-03,0.123465,0.123465,0.118,0.12,0.112285,0.087783,0.03865,0.438745,0.438761,0.40375,0.42,0.400414,0.348591,0.285772,0.70625,0.709,0.666238,0.6725,0.644951,0.588568,0.55757,1.0825,1.082508,1.041247,1.05,1.013107,0.954421,0.943436,1.78,1.78002,1.71125,1.74375,1.70771,1.624647,1.58662
2024-07-04,0.12,0.120515,0.1185,0.12,0.112559,0.088758,0.03945,0.43,0.43,0.409996,0.415,0.400814,0.350153,0.286822,0.70125,0.70125,0.67,0.675,0.64525,0.590093,0.55832,1.0555,1.06625,1.047484,1.0525,1.013482,0.955845,0.94413,1.7775,1.77875,1.7275,1.7525,1.70861,1.626622,1.587945
2024-07-05,0.12,0.122015,0.119976,0.122015,0.113058,0.089753,0.040279,0.415,0.423762,0.395,0.405,0.401594,0.351573,0.28776,0.675005,0.678816,0.6475,0.6575,0.646175,0.591338,0.558845,1.051255,1.055001,1.019982,1.03125,1.01455,0.956928,0.944505,1.752495,1.757545,1.7225,1.73375,1.710385,1.628435,1.589007
2024-07-08,0.12,0.129946,0.119736,0.129735,0.113711,0.090821,0.04114,0.41,0.425019,0.4075,0.42125,0.402944,0.353156,0.288822,0.66375,0.6875,0.65875,0.68375,0.64799,0.5929,0.559551,1.03625,1.057613,1.028686,1.05375,1.016206,0.958341,0.945055,1.7425,1.765077,1.734617,1.75375,1.712135,1.63051,1.590201
2024-07-09,0.12875,0.132665,0.12748,0.132665,0.11439,0.09191,0.041991,0.42125,0.4355,0.416249,0.42375,0.404244,0.354723,0.289885,0.682495,0.6925,0.668622,0.6875,0.64947,0.594513,0.560145,1.055,1.070013,1.037496,1.065,1.017931,0.959966,0.945436,1.755005,1.77125,1.7175,1.7415,1.713815,1.632812,1.591071
2024-07-10,0.133,0.134396,0.131875,0.133,0.11507,0.092999,0.042837,0.4225,0.428757,0.416248,0.4225,0.405574,0.356286,0.290941,0.685,0.68625,0.66625,0.67625,0.65092,0.596038,0.560695,1.06,1.0625,1.036245,1.045485,1.019415,0.961445,0.945745,1.75125,1.76502,1.71625,1.74875,1.71569,1.635237,1.591921
2024-07-11,0.133,0.136387,0.128865,0.128865,0.115597,0.094013,0.043681,0.42,0.425,0.4,0.40375,0.406124,0.357711,0.291873,0.6725,0.67875,0.648744,0.6525,0.6519,0.597438,0.561045,1.0425,1.048762,1.019997,1.02625,1.02054,0.962845,0.945838,1.74375,1.750035,1.717495,1.7275,1.71699,1.63755,1.592446
2024-07-12,0.128865,0.136775,0.127499,0.129725,0.116151,0.094985,0.04453,0.41875,0.41875,0.396242,0.3975,0.406574,0.359066,0.292798,0.66,0.6625,0.635,0.64,0.65282,0.598698,0.561376,1.0325,1.032508,1.0,1.01,1.02134,0.964065,0.945838,1.7325,1.732515,1.70096,1.70875,1.717345,1.639675,1.592734
2024-07-15,0.126875,0.12927,0.120312,0.12625,0.116626,0.09591,0.045367,0.4,0.402708,0.39375,0.4,0.407374,0.360516,0.293779,0.6425,0.645458,0.6365,0.643,0.6538,0.600165,0.56176,1.01,1.013333,1.004375,1.01125,1.022165,0.965615,0.945876,1.715,1.715352,1.70625,1.714,1.717805,1.642165,1.593029
