Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2015-12-24,3.35,3.35,3.35,3.35,3.3607,3.3825,3.7113,3.0774,3.0774,3.0774,3.0774,3.061,3.0928,3.4189
2015-12-25,3.35,3.35,3.35,3.35,3.3594,3.3821,3.7041,3.0825,3.0825,3.0825,3.0825,3.059,3.0921,3.4098
2015-12-28,3.35,3.35,3.35,3.35,3.3581,3.3817,3.697,3.0878,3.0878,3.0878,3.0878,3.0572,3.0914,3.4007
2015-12-29,3.35,3.35,3.35,3.35,3.3567,3.3812,3.6898,3.0882,3.0882,3.0882,3.0882,3.0555,3.0908,3.3917
2015-12-30,3.35,3.35,3.35,3.35,3.3554,3.3808,3.6827,3.0882,3.0882,3.0882,3.0882,3.0539,3.0903,3.3826
2015-12-31,3.35,3.35,3.35,3.35,3.354,3.3804,3.6755,3.0852,3.0852,3.0852,3.0852,3.0524,3.0897,3.3735
2016-01-04,3.35,3.35,3.35,3.35,3.3526,3.3799,3.6684,3.086,3.086,3.086,3.086,3.0513,3.0893,3.3644
2016-01-05,3.35,3.35,3.35,3.35,3.3518,3.3795,3.6612,3.086,3.086,3.086,3.086,3.0513,3.089,3.3553
2016-01-06,3.347,3.347,3.347,3.347,3.3511,3.379,3.6541,3.082,3.082,3.082,3.082,3.052,3.0886,3.3462
2016-01-07,3.346,3.346,3.346,3.346,3.3506,3.3786,3.6469,3.0746,3.0746,3.0746,3.0746,3.0528,3.0882,3.3371
2016-01-08,3.345,3.345,3.345,3.345,3.3502,3.3781,3.6397,3.067,3.067,3.067,3.067,3.0534,3.0879,3.3279
2016-01-11,3.344,3.344,3.344,3.344,3.3499,3.3776,3.6325,3.0585,3.0585,3.0585,3.0585,3.0538,3.0875,3.3187
2016-01-12,3.34,3.34,3.34,3.34,3.3496,3.3771,3.6253,3.053,3.053,3.053,3.053,3.054,3.0871,3.3095
2016-01-13,3.3345,3.3345,3.3345,3.3345,3.3492,3.3765,3.6181,3.041,3.041,3.041,3.041,3.054,3.0866,3.3002
2016-01-14,3.318,3.318,3.318,3.318,3.3486,3.3757,3.6108,3.027,3.027,3.027,3.027,3.0537,3.0859,3.2908
2016-01-15,3.295,3.295,3.295,3.295,3.3475,3.3747,3.6034,3.008,3.008,3.008,3.008,3.0531,3.0851,3.2814
2016-01-18,3.2705,3.2705,3.2705,3.2705,3.3459,3.3734,3.5958,2.985,2.985,2.985,2.985,3.0521,3.084,3.2718
2016-01-19,3.25,3.25,3.25,3.25,3.3439,3.3719,3.5882,2.976,2.976,2.976,2.976,3.0509,3.0829,3.2622
2016-01-20,3.253,3.253,3.253,3.253,3.3419,3.3705,3.5805,2.9705,2.9705,2.9705,2.9705,3.0496,3.0817,3.2526
2016-01-21,3.253,3.253,3.253,3.253,3.34,3.369,3.5729,2.986,2.986,2.986,2.986,3.0487,3.0806,3.2431
2016-01-22,3.256,3.256,3.256,3.256,3.3381,3.3675,3.5653,3.031,3.031,3.031,3.031,3.0486,3.0799,3.2339
